Station,Lat,Long,Date,Hour,tmp(f),relhumidity,solar,precip,windspeed,soil_temp(4in),soil_temp(12in),soil_temp(24in),soil_temp(50in),soil12vwc
FRUI4,41.356,-91.13603,4/18/21,23:00,51.404,47.06,0,0,7.398012,58.91,57.776,55.562,52.286,4.1
FRUI4,41.356,-91.13603,4/19/21,0:00,50.126,51.5,0,0,8.830014,57.938,57.938,55.58,52.322,4.1
FRUI4,41.356,-91.13603,4/19/21,1:00,48.866,55.67,0,0,9.960016,57.092,57.938,55.688,52.358,4.1
FRUI4,41.356,-91.13603,4/19/21,2:00,48.236,57.46,0,0,10.770019,56.354,57.992,55.742,52.376,4.1
FRUI4,41.356,-91.13603,4/19/21,3:00,47.336,59.59,0,0,9.910016,55.706,57.938,55.814,52.394,4.1
FRUI4,41.356,-91.13603,4/19/21,4:00,47.012,62.17,0,0,8.610014,55.094,57.92,55.868,52.43,4
FRUI4,41.356,-91.13603,4/19/21,5:00,46.688,64.31,0,0,6.34601,54.662,57.812,55.958,52.412,4
FRUI4,41.356,-91.13603,4/19/21,6:00,46.706,69.12,0,0,5.97501,54.32,57.722,56.012,52.43,4
FRUI4,41.356,-91.13603,4/19/21,7:00,46.3586,75.21,9322.557,0,7.8700128,54.014,57.578,56.012,52.448,4
FRUI4,41.356,-91.13603,4/19/21,8:00,45.9734,74.58,226208.39,0,9.490016,53.762,57.434,56.048,52.484,4
FRUI4,41.356,-91.13603,4/19/21,9:00,43.0808,82.1,333013.8,0,14.010023,53.69,57.326,56.102,52.484,4.1
FRUI4,41.356,-91.13603,4/19/21,10:00,43.5434,62.73,521795.4,0,12.840021,53.546,57.182,56.12,52.484,4.1
FRUI4,41.356,-91.13603,4/19/21,11:00,38.6348,89.2,702556.76,0,12.23002,53.438,57.02,56.12,52.52,4.1
FRUI4,41.356,-91.13603,4/19/21,12:00,38.9174,94,504858.06,0.030000001,10.490018,53.348,56.894,56.156,52.52,4.1
FRUI4,41.356,-91.13603,4/19/21,13:00,38.4782,92.4,815604.06,0.020000001,10.930017,53.132,56.786,56.156,52.556,4.1
FRUI4,41.356,-91.13603,4/19/21,14:00,38.2352,91.7,740417.97,0,11.210018,53.042,56.642,56.138,52.538,4.1
FRUI4,41.356,-91.13603,4/19/21,15:00,40.01,88,878736.1,0.010000001,11.430019,52.898,56.498,56.12,52.574,4.1
FRUI4,41.356,-91.13603,4/19/21,16:00,41.1944,70.87,949919.86,0,11.430019,52.898,56.408,56.12,52.574,4
FRUI4,41.356,-91.13603,4/19/21,17:00,40.199,68.94,509961.67,0,10.550017,52.862,56.246,56.102,52.61,4
FRUI4,41.356,-91.13603,4/19/21,18:00,40.2548,72.86,358495.82,0,9.100016,52.538,56.12,56.102,52.646,4
FRUI4,41.356,-91.13603,4/19/21,19:00,39.7904,76.63,242212.78,0,8.660014,52.124,55.976,56.066,52.646,4
FRUI4,41.356,-91.13603,4/19/21,20:00,38.1812,81,31716.541,0,9.000014,51.674,55.85,56.048,52.682,4
FRUI4,41.356,-91.13603,4/19/21,21:00,37.6952,82.3,147.41999,0,7.840013,51.08,55.706,55.994,52.7,4
FRUI4,41.356,-91.13603,4/19/21,22:00,38.4206,67.26,0,0,5.0610085,50.504,55.58,55.958,52.718,4
FRUI4,41.356,-91.13603,4/19/21,23:00,37.2848,77.82,0,0,1.8890032,49.982,55.436,55.922,52.754,4
FRUI4,41.356,-91.13603,4/20/21,0:00,36.4892,78.15,0,0,0.10600018,49.514,55.274,55.886,52.682,4
FRUI4,41.356,-91.13603,4/20/21,1:00,36.7772,78.06,0,0,0,49.118,55.094,55.85,52.754,4
FRUI4,41.356,-91.13603,4/20/21,2:00,35.6738,84.6,0,0,0,48.74,54.878,55.778,52.772,4
FRUI4,41.356,-91.13603,4/20/21,3:00,36.6872,70.99,0,0,2.0370033,48.398,54.716,55.724,52.808,4
FRUI4,41.356,-91.13603,4/20/21,4:00,35.9204,72.4,0,0,4.640008,48.056,54.518,55.652,52.772,4
FRUI4,41.356,-91.13603,4/20/21,5:00,35.5928,72.9,0,0,1.5910027,47.714,54.338,55.598,52.826,4
FRUI4,41.356,-91.13603,4/20/21,6:00,35.0366,76.11,0,0,3.0140052,47.426,54.104,55.562,52.826,4
FRUI4,41.356,-91.13603,4/20/21,7:00,35.2382,74.23,16297.499,0,2.2190037,47.138,53.888,55.454,52.844,3.9
FRUI4,41.356,-91.13603,4/20/21,8:00,36.1706,68.7,160960.78,0,4.056007,46.922,53.69,55.436,52.88,3.9
FRUI4,41.356,-91.13603,4/20/21,9:00,36.7394,68.5,360209.44,0,3.9740067,46.85,53.492,55.328,52.88,3.9
FRUI4,41.356,-91.13603,4/20/21,10:00,38.9714,61.63,1030296.1,0,3.632006,47.102,53.294,55.238,52.916,3.9
FRUI4,41.356,-91.13603,4/20/21,11:00,42.008,43.25,1705944.2,0,5.2310085,48.002,53.06,55.166,52.898,3.9
FRUI4,41.356,-91.13603,4/20/21,12:00,41.9162,42.08,1363818,0,7.0570116,49.406,52.898,55.112,52.916,3.9
FRUI4,41.356,-91.13603,4/20/21,13:00,42.3752,42.64,1577610.1,0,8.690014,50.558,52.736,54.986,52.916,3.9
FRUI4,41.356,-91.13603,4/20/21,14:00,43.1618,42.09,1175730,0,8.840014,51.512,52.646,54.95,52.934,3.9
